reward_id,reward_type,description,target_tier,estimated_value_usd
reward_1,Bonus Points,Wind cultural turn keep also Mr almost tax Republican someone.,Bronze,480
reward_2,Exclusive Experience,Agree threat there then set decade.,Silver,441
reward_3,Discount,Drop out hope better herself.,Silver,133
reward_4,Exclusive Experience,School room us charge thus receive computer sound.,Gold,81
reward_5,Discount,Thought style yes through safe appear hair occur.,Bronze,113
reward_6,Exclusive Experience,Attention ahead it suffer audience off start feel board two.,Gold,117
reward_7,Free Upgrade,House our against quite eight rule.,Platinum,79
reward_8,Exclusive Experience,Bag test mind home someone many.,Gold,112
reward_9,Discount,Ten high out central scientist head.,Platinum,111
reward_10,Free Upgrade,Vote relationship increase great budget sing base home consider suggest treat.,Gold,220
reward_11,Free Upgrade,Which later often agent.,Bronze,426
reward_12,Exclusive Experience,Door shoulder great room letter.,Silver,164
reward_13,Exclusive Experience,Sea spring study her hotel even.,Gold,343
reward_14,Exclusive Experience,Property question most just look agreement moment our.,Gold,111
reward_15,Bonus Points,Within perform argue hear story.,Gold,231
reward_16,Free Upgrade,Laugh just account person security seek establish hair growth.,Gold,274
reward_17,Discount,Age office already travel our individual take hard onto.,Platinum,268
reward_18,Bonus Points,Especially thought option glass just.,Gold,48
reward_19,Bonus Points,One back Republican partner.,Bronze,487
reward_20,Discount,This above probably style compare from able future.,Silver,279
reward_21,Exclusive Experience,Computer pick myself bit budget clearly article early edge try.,Gold,264
reward_22,Exclusive Experience,Friend surface leg mother recently right.,Bronze,441
reward_23,Exclusive Experience,Skill spring its others help well message on.,Silver,392
reward_24,Bonus Points,Include production financial check crime shake full seek.,Gold,28
reward_25,Exclusive Experience,Begin fire always attack she.,Gold,481
reward_26,Free Upgrade,Woman tough follow direction state note first low much goal.,Platinum,242
reward_27,Discount,Republican you miss next ok always.,Bronze,463
reward_28,Exclusive Experience,Us take tough investment.,Gold,343
reward_29,Exclusive Experience,Should night often agree huge month.,Gold,217
reward_30,Exclusive Experience,Me eight movement speech identify subject itself available left know.,Bronze,435
reward_31,Exclusive Experience,Outside subject available office democratic represent around pull reveal home.,Bronze,488
reward_32,Exclusive Experience,Suffer be lose room hundred participant represent eye professor.,Gold,242
reward_33,Free Upgrade,Participant card space affect save list risk move green last computer.,Bronze,117
reward_34,Free Upgrade,Door imagine second against enter too another identify.,Silver,332
reward_35,Free Upgrade,Main lawyer moment president method political air service.,Silver,91
reward_36,Free Upgrade,Rest section move ago seat improve affect different so.,Gold,414
reward_37,Bonus Points,Thank state middle member concern any clear.,Platinum,40
reward_38,Discount,Range blue shoulder despite professor avoid different late pass provide kind.,Bronze,274
reward_39,Free Upgrade,Name be financial central cold face young.,Bronze,328
reward_40,Exclusive Experience,Remember buy agree partner community seek yard.,Platinum,313
reward_41,Bonus Points,Key billion politics student send customer air million.,Gold,372
reward_42,Discount,Professor black what serious book from front media audience.,Silver,96
reward_43,Discount,Black rock very central culture.,Platinum,398
reward_44,Discount,West hotel build remember order.,Gold,267
reward_45,Free Upgrade,Art group author political table lay.,Gold,254
reward_46,Bonus Points,Create my public TV organization father.,Platinum,197
reward_47,Free Upgrade,Cup more face final many throw.,Silver,424
reward_48,Bonus Points,Investment seek treat few quality pretty field whether occur idea.,Platinum,414
reward_49,Exclusive Experience,Clear age especially bed world quite south world writer.,Silver,231
reward_50,Bonus Points,Once paper sea fish.,Platinum,234
